Record URL,Generic Code,Student Code,Program Originator,Country/Activity Code,Type of Assistance Code,Program Year,Select Item Description Number,Total Delivery Cost
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71645&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Weapons, Weapons, up to 75mm [Millimeter]: Machine Guns",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MACHINE GUNS,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71646&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Support Equipment, Other Support Equipment: Pumps and Compressors",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71647&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Support Equipment, Other Support Equipment: Pumps and Compressors",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71648&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Support Equipment, Other Equipment: Power and distribution equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71649&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Support Equipment, Other Equipment: Power and distribution equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71589&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589",Undefined Code,,MAAG [Military Assistance Advisory Group] (Navy),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,TRAINING,5140
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71590&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614",Undefined Code,,MAAG [Military Assistance Advisory Group] (Navy),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,TRAINING,53693
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71601&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Support Equipment, Construction Equipment: Earthmoving and excavating equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MAJOR CONSTR [Construction] EQP [Equipment] ITEMS,76564
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71602&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Supplies, Automotive Supplies: Automotive supplies and equipment parts",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,VEH [Vehicle] + SUPPORT EQUIP [Equipment] SPARES,851
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71604&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Supplies, Automotive Supplies: Automotive supplies and equipment parts",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,VEH [Vehicle] + SUPPORT EQUIP [Equipment] SPARES,4832
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71607&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Supplies, Automotive Supplies: Automotive supplies and equipment parts",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,VEH [Vehicle] + SUPPORT EQUIP [Equipment] SPARES,28004
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71608&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Tactical and Support Vehicles, Support Vehicles: Commercial trucks",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,COMMERCIAL TRUCKS,6400
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71610&rlst=71590,71601,71602,71604,71607,71608,71610,71611,71613,71614","Communications Equipment, Radio Communication Equipment: Ground, vehicular",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,RADIOS TACTICAL,9240
